dummy,GOODS,TRADE,OTHER,L1,L2,L3,KAP,LAND,HS1,HS2,HS3,HH1,HH2,HH3,HH4,HH5,INVES,USSOC1,USSOC2,USSOC3,PTAXJop,STAXJop,OTXJop,MISSTAX,MISITAX,USPIT,CYGF,FED,STATE,CITY,OUTNEW1,OUTNEW2,OUTNEW3,OUTJAS1,OUTJAS2,OUTJAS3,OUTOTH1,OUTOTH2,OUTOTH3,ROW
GOODS,231.6335802,55.94764112,121.6781757,0,0,0,0,0,0,0,0,1.425117988,4.673222674,8.070671424,7.0234092,4.350274715,197.6316064,0,0,0,0,0,0,0,0,0,0,0.561556937,0.464025299,1.554452719,0,0,0,0,0,0,0,0,0,459.2947737
TRADE,25.14482006,19.88668793,20.66373895,0,0,0,0,0,0,0,0,32.72974512,86.71995684,148.1001337,124.2261042,74.24936414,184.3667349,0,0,0,0,0,0,0,0,0,0,0.060959418,0.164938613,0.263981647,0,0,0,0,0,0,0,0,0,162.5484886
OTHER,59.26881469,95.48556812,361.5096013,0,0,0,0,0,22.06506003,25.62595641,2.115675194,20.32038336,56.70096867,121.4328121,133.5559158,79.82574905,143.6033054,0,0,0,0,0,0,0,0,0,0,0.143687344,0.79194973,4.618326824,0,0,0,0,0,0,0,0,0,596.3437989
L1,2.910767998,21.76104909,43.17440999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004988627,0.012461725,0.053448623,0,0,0,0,0,0,0,0,0,-38.90132471
L2,85.23053722,111.4854785,308.1160308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.053750754,2.632297684,11.23166593,0,0,0,0,0,0,0,0,0,-324.353322
L3,186.3921854,130.8683909,401.5198357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.383861778,3.456923888,14.66267333,0,0,0,0,0,0,0,0,0,-514.5993401
KAP,50.89972813,17.53772188,46.18087188,0,0,0,0,0,179.3086033,212.7482042,18.9265174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-136.6564281
LAND,24.01879375,8.231078125,11.11573438,0,0,0,0,0,28.26216989,28.32068833,0.976094918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34.91989755
HS1,0,0,0,0,0,0,0,0,0,0,0,19.28959845,58.50411969,151.842115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.7076957,99.98715324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS3,0,0,0,0,0,0,0,0,0,0,0,4.128410529,7.099055907,8.336612572,1.534095789,0.920112717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HH1,0,0,0,3.514269647,0,0,3.253721878,0.552162109,0,0,0,0,0,0,0,0,0,13.59391699,0,0,0,0,0,0,0,0,0,0,0,0,0.534378678,0,0,0.906751546,0,0,3.378951379,0,0,53.70997175
HH2,0,0,0,7.45438026,45.09564262,0,48.65396691,8.256660527,0,0,0,0,0,0,0,0,0,22.87145575,8.883034929,0,0,0,0,0,0,0,0,0,0,0,1.03669923,7.029123789,0,1.634782153,13.59232523,0,0.87065461,6.720675567,0,62.30410459
HH3,0,0,0,11.17168521,83.37142872,53.38299193,136.958872,23.24215237,0,0,0,0,0,0,0,0,0,15.62602238,13.88151726,0.981291794,0,0,0,0,0,0,0,0,0,0,1.577007662,12.01594638,8.331637515,2.291885702,23.39323525,18.90727912,2.074610742,18.98741104,14.6062824,108.7244464
HH4,0,0,0,3.593563284,41.50593575,105.2967555,139.245884,23.63026217,0,0,0,0,0,0,0,0,0,4.027494102,4.695590265,0,0,0,0,0,0,0,0,0,0,0,0.485126805,5.935111259,24.4169636,0.725845537,11.10056457,35.79036498,0.706121795,9.933556351,35.10708335,81.34686428
