,L1,L2,L3,L4,L5,LAND,KAP
CONST1,8,5,16,5,3,0.108333333,9811.934701
RETAIL1,82,91,47,3,5,29.84583333,137288.7806
SERV1,97,56,117,29,26,11.375,614175.0129
HC1,57,131,114,42,36,3.0875,286408.7382
ACCOM1,8,27,4,0,0,1.895833333,34965.09077
REST1,165,96,17,0,0,16.35833333,1614829.857
AG2,10,1,15,1,6,0.173286052,2376.285253
CONST2,35,18,62,20,10,6.93144208,28434.47868
MANUF2,109,118,262,82,31,10.57044917,11742.36211
RETAIL2,184,200,104,7,13,20.79432624,186015.4062
SERV2,119,69,143,35,32,80.40472813,744011.8112
HC2,17,38,33,13,11,5.718439716,51611.8076
ACCOM2,21,70,10,0,0,8.6643026,175769.4333
REST2,20,12,2,0,0,13.16973995,137549.4305
AG3,10,2,18,1,7,2.540949316,2663.956096
UTIL,7,4,30,0,4,1.270474658,1019.812841
CONST3,32,15,56,18,9,5.444891392,41167.63288
RETAIL3,1,2,0,0,0,0.362992759,2318.892421
SERV3,55,32,66,16,15,174.0550282,392219.6485
HC3,13,28,24,9,8,19.78310539,54078.00726
HS1,0,0,0,0,0,316,165277.6465
HS2,0,0,0,0,0,214.1,94409.29095
HS3,0,0,0,0,0,563.6,89563.5072
FED,35,51,131,25,10,0,0
