DUMMY,CONST1,RETAIL1,SERV1,HC1,ACCOM1,REST1,AG2,CONST2,MANUF2,RETAIL2,SERV2,HC2,ACCOM2,REST2,AG3,UTIL,CONST3,RETAIL3,SERV3,HC3,HS1,HS2,HS3,L1,L2,L3,L4,L5,LAND,KAP,INVES,HH1,HH2,HH3,HH4,HH5,USSOCL1,USSOCL2,USSOCL3,USSOCL4,USSOCL5,STPIT,LOCTAX,PROPTX,ACCTAX,CYGF,FED,ROW
CONST1,0.120664078,11.22339186,157.5185338,5.626803632,1.100433409,62.48666609,7.378843473,2.555392812,169.6273826,73.94522622,616.1274751,5.672262786,11.31412218,27.06876739,23.09730646,34.07267527,2.289359544,4.764380238,283.7627741,15.01018473,720.621942,321.7574265,253.2523785,0,0,0,0,0,0,0,40726.42497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3075.317659
RETAIL1,566.1235937,1117.478963,2925.585301,2517.8104,105.6503152,5999.214413,0.728270107,1355.535415,12586.26248,48.60659069,71.99898142,3.617915613,39.65300566,94.86887003,2.279636084,34.07267527,1214.415226,3.131781346,33.1597462,9.573883251,0,0,0,0,0,0,0,0,0,0,12340.64052,309.6965711,1601.447218,5623.919216,3145.443024,11936.95297,0,0,0,0,0,0,0,0,0,0,10,26526.9598
SERV1,282.5283043,456.5986414,922.9702142,773.1209129,35.33749038,2006.592988,160.6427602,184.8576038,2142.181123,551.8358007,521.5312702,65.54470695,101.2615951,242.2659503,502.8450701,45.02858409,165.6127064,35.55544716,240.1956836,173.4472108,0,0,0,0,0,0,0,0,0,0,29985.3764,412.5494025,1900.10358,7579.611172,4339.654029,14969.65318,0,0,0,0,0,0,0,0,0,0,10,139648.5692
HC1,469.0338138,9319.059185,31711.00469,14844.25847,659.2409734,37434.13299,0.024581212,30.18599094,5668.796643,31.05454281,258.7531072,2.382162264,4.751556112,11.36798464,0.07694428,117.8683114,27.04342993,2.000881702,119.1709549,6.303779811,0,0,0,0,0,0,0,0,0,0,4897.854768,509.0008364,2701.674667,10684.18423,6092.038259,17837.16872,0,0,0,0,0,0,0,0,0,0,10,9083.446885
ACCOM1,0.009523276,32.49067821,68.98616318,393.180861,1.605584702,91.17101895,0.624671369,8246.318698,4.09701797,4337.726049,6741.995048,1495.389599,639.9774081,1531.130681,1.955350606,0.411579874,7387.82246,279.4849285,3105.083437,3957.164004,0,0,0,0,0,0,0,0,0,0,1373.939469,47.56767833,191.3871022,961.8903021,652.4584982,2116.566998,0,0,0,0,0,0,0,0,0,0,10,2951.068076
REST1,1.565765185,85.59161425,890.6138868,645.269712,35.9675136,2042.368029,1.192615366,206.3408618,84.59204914,222.9352014,267.5374722,57.75638772,26.92469665,64.41669439,3.733132801,3.513496725,184.8594153,14.36398429,123.2166692,152.8374269,0,0,0,0,0,0,0,0,0,0,976.8692376,190.2707133,765.5484089,3847.561208,2609.833993,8466.26799,0,0,0,0,0,0,0,0,0,0,10,340948.9924
AG2,41.57270524,1301.264295,74.54879995,28.11637622,1.280108734,333.1674519,247.038574,220.3258249,3287.254225,35.32981575,52.33263044,2.629690546,28.82188123,68.95566322,773.2818392,112.9201468,197.3884515,2.276342701,24.10224019,6.958799752,0,0,0,0,0,0,0,0,0,0,976.8692376,9.290897134,48.04341654,168.7175765,94.36329072,358.1085891,0,0,0,0,0,0,0,0,0,0,10,929.2844147
CONST2,0.482170405,44.84837164,629.4398193,22.48455579,4.397302269,249.695035,7.378843473,2.555392812,239.8096476,73.94522622,616.1274751,5.672262786,11.31412218,27.06876739,23.09730646,74.52729691,2.289359544,4.764380238,283.7627741,15.01018473,1201.03657,536.2623775,422.0872975,0,0,0,0,0,0,0,46912.25146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8525.112893
MANUF2,1270.986292,2508.816909,6568.139638,5652.65702,237.1922031,13468.64778,197.141668,9792.062874,38140.18933,6013.241395,9346.197353,2073.007501,887.178812,2122.554142,617.0942017,62.4705161,8772.644459,387.440406,4304.471064,5485.681237,0,0,0,0,0,0,0,0,0,0,209109.7723,706.4431913,3538.041249,13248.52122,7661.790202,27233.98225,0,0,0,0,0,0,0,0,0,0,10,17552.93138
RETAIL2,542.6841318,877.040755,1772.853487,1485.020952,67.87672243,3854.29055,0.728270107,2876.101719,4465.458321,1446.04976,1735.358503,374.6317767,174.6446989,417.8332756,2.279636084,38.94020031,2576.680536,93.17073259,799.2341891,991.3666529,0,0,0,0,0,0,0,0,0,0,11689.39437,743.2717707,3843.473323,13497.40612,7549.063258,28648.68713,0,0,0,0,0,0,0,0,0,0,10,49517.36056
SERV2,311.6452874,6191.964828,21070.09107,9863.133658,438.0267191,24872.77205,160.6427602,1651.648711,7551.614211,10209.20544,20624.46895,2488.209531,1127.029145,2696.390342,502.8450701,115.861527,1479.701173,657.7914377,9498.775433,6584.40663,0,0,0,0,0,0,0,0,0,0,31975.75831,990.1185659,4560.248591,18191.06681,10415.16967,35927.16763,0,0,0,0,0,0,0,0,0,0,10,39006.61982
HC2,0.006696475,22.84644508,48.50894703,276.4726821,1.128997754,64.10865491,0.024581212,0.035489785,2.432503965,37.66882694,47.48300653,69.74679512,2.90487616,6.949846911,0.07694428,51.46123896,0.031795064,2.427048017,21.86870445,184.5669565,0,0,0,0,0,0,0,0,0,0,1492.987314,1221.602007,6484.019201,25642.04214,14620.89182,42809.20494,0,0,0,0,0,0,0,0,0,0,10,14692.32798
ACCOM2,1.26347862,69.06730059,718.672005,520.6939669,29.02362685,1648.068538,0.624671369,6.696147573,184.9136995,113.876981,703.4724437,131.3574099,74.67689055,178.662679,1.955350606,117.8683114,5.999034388,7.33723143,323.9902459,347.6036041,0,0,0,0,0,0,0,0,0,0,1373.939469,142.703035,574.1613067,2885.670906,1957.375495,6349.700993,0,0,0,0,0,0,0,0,0,0,10,26369.66607
REST2,0.354635672,19.38594621,201.7182764,146.14941,8.146408851,462.5831291,1.192615366,1.879487913,51.90194203,31.96321573,197.4520335,36.869657,20.96045699,50.14739328,3.733132801,2.494423478,1.683820809,2.059428595,90.93822149,97.56606548,0,0,0,0,0,0,0,0,0,0,976.8692376,570.8121399,2296.645227,11542.68363,7829.501978,25398.80397,0,0,0,0,0,0,0,0,0,0,10,22659.91597
AG3,41.57270524,1301.264295,74.54879995,28.11637622,1.280108734,333.1674519,247.038574,60.19804385,701.4886973,627.6492575,593.1813668,74.54950656,115.1733267,275.5494363,773.2818392,112.9201468,53.93102992,40.44019975,273.1947479,197.2760972,0,0,0,0,0,0,0,0,0,0,1027.271651,1.486543541,7.686946647,26.99481223,15.09812652,57.29737425,0,0,0,0,0,0,0,0,0,0,10,8066.873646
UTIL,22.71722376,555.370612,2648.782505,637.3885791,72.58000349,2662.699458,42.07069977,120.3960877,1402.977395,1255.298515,1186.362734,149.0990131,230.3466533,551.0988726,131.689993,189.3045942,107.8620598,80.8803995,546.3894957,394.5521944,0,0,0,0,0,0,0,0,0,0,37941.21171,302.5503183,2350.9904,6134.124193,3037.303773,6150.006098,0,0,0,0,0,0,0,0,0,0,10,58.68546109
CONST3,0.430678462,40.05892424,562.2206807,20.08338506,3.927705555,223.0296022,7.378843473,2.282497297,169.6273826,139.8025001,136.4201088,74.59023769,6.345790148,12.6640403,23.09730646,34.07267527,2.044874254,9.007643939,62.82944695,197.3838817,480.414628,214.504951,168.834919,0,0,0,0,0,0,0,22690.75668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15044.41344
RETAIL3,10.52891721,20.78317106,54.41081378,46.82690769,1.96491267,111.5749857,0.728270107,55.80085196,12586.26248,141.8551688,70.77679969,7.218723309,14.79599822,6.335437544,2.279636084,45.02858409,49.99161474,9.139899864,32.59685996,19.1024948,0,0,0,0,0,0,0,0,0,0,0,185.8179427,436.7583322,1533.79615,674.0235052,3255.532628,0,0,0,0,0,0,0,0,0,0,10,271.5142523
SERV3,159.5685239,257.8813171,521.282266,436.649217,19.95818151,1133.299129,16.06427602,84.56766634,214.2181123,856.9625216,878.2112349,69.15890763,137.9689874,64.35085607,50.28450701,11.78683114,75.76361377,55.21513032,404.4676895,183.0112634,0,0,0,0,0,0,0,0,0,0,29785.04598,247.5296415,1140.062148,4547.766703,2603.792417,8981.791908,0,0,0,0,0,0,0,0,0,0,10,49799.71959
HC3,100.9885372,2006.503855,6827.755021,3196.144722,141.9423922,8060.012351,0.024581212,535.2161387,5668.796643,1597.154748,6833.120942,905.843359,1009.892687,457.6626608,0.07694428,1.247211739,479.496604,102.9066095,3147.052246,1198.540747,0,0,0,0,0,0,0,0,0,0,1517.64931,305.4005018,1621.0048,6410.510536,3655.222955,10702.30123,0,0,0,0,0,0,0,0,0,0,0,5167.851332
HS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.5670408,2513.732228,12024.56135,7424.91923,25868.68296,0,0,0,0,0,0,0,0,0,0,0,0
HS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.57160503,1122.380496,5368.962125,3315.223648,11550.35723,0,0,0,0,0,0,0,0,0,0,0,0
HS3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.64936932,883.4156005,4225.861834,2609.382737,9091.18236,0,0,0,0,0,0,0,0,0,0,0,0
L1,37.37132762,427.6394334,582.642144,404.5834051,90.9940137,1071.6333,110.5515,163.4995583,427.7730307,959.5811677,714.7877849,120.6652261,238.859286,129.8949455,22.1103,8.481600174,149.4853105,5.215115042,330.3641023,92.27340817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.4428002,0
