,CONST1,RETAIL1,SERV1,HC1,ACCOM1,REST1,AG2,CONST2,MANUF2,RETAIL2,SERV2,HC2,ACCOM2,REST2,AG3,UTIL,CONST3,RETAIL3,SERV3,HC3,HS1,HS2,HS3
CONST1,0.04,0.03,0.08,0.1,0.1,0.1,0.07,0.04,0.08,0.03,0.08,0,0.1,0.1,0.07,0.1,0.04,0.03,0.08,0,0.08,0.08,0.08
RETAIL1,0,0.05,0.05,0.05,0,0,0,0,0,0.05,0.05,0.05,0,0,0,0,0,0.05,0.05,0.05,0,0,0
SERV1,0.05,0.03,0.04,0.05,0.1,0.1,0.03,0.05,0,0.03,0.04,0.05,0.1,0.1,0.03,0.03,0.05,0.03,0.04,0.05,0,0,0
HC1,0,0.03,0,0.1,0,0,0,0,0,0.03,0,0.1,0,0,0,0,0,0.03,0,0.1,0,0,0
ACCOM1,0.05,0.03,0,0,0,0,0,0.05,0,0.03,0,0,0,0,0,0,0.05,0.03,0,0,0,0,0
REST1,0,0.03,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.03,0,0,0,0,0
AG2,0,0.03,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.03,0,0,0,0,0
CONST2,0.04,0.08,0.1,0.1,0.1,0.1,0.07,0.04,0.08,0.08,0.1,0.1,0.1,0.1,0.07,0.1,0.04,0.08,0.1,0.1,0.08,0.08,0.08
MANUF2,0.49,0.2,0.45,0.3,0.4,0.4,0.61,0.49,0.67,0.23,0.45,0.3,0.4,0.4,0.61,0.5,0.49,0.23,0.45,0.3,0.8,0.8,0.8
RETAIL2,0,0.03,0.05,0.05,0,0,0,0,0,0.03,0.05,0.05,0,0,0,0,0,0.03,0.05,0.05,0,0,0
SERV2,0.05,0.07,0.1,0.05,0.05,0.05,0.03,0.05,0,0.07,0.1,0.05,0.05,0.05,0.03,0.04,0.05,0.07,0.1,0.05,0,0,0
HC2,0,0.03,0,0,0,0,0,0,0,0.03,0,0.1,0,0,0,0,0,0.03,0,0,0,0,0
ACCOM2,0.05,0.03,0,0,0,0,0,0.05,0,0.03,0,0,0,0,0,0,0.05,0.03,0,0,0,0,0
REST2,0,0.03,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.03,0,0,0,0,0
AG3,0,0.03,0,0,0,0,0.1,0,0,0.03,0,0,0,0,0.1,0,0,0.03,0,0,0,0,0
UTIL,0.15,0.1,0,0.1,0.15,0.15,0,0.15,0.09,0.1,0,0.1,0.15,0.15,0,0.2,0.15,0.1,0,0.1,0,0,0
CONST3,0.08,0.08,0.08,0.1,0,0,0.07,0.08,0.08,0.08,0.08,0.1,0,0,0.07,0,0.08,0.08,0.08,0.1,0.04,0.04,0.04
RETAIL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERV3,0,0.06,0.05,0,0.1,0.1,0.02,0,0,0.03,0.05,0,0.1,0.1,0.02,0.03,0,0.03,0.05,0,0,0,0
HC3,0,0.03,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.03,0,0.1,0,0,0
